name,alias,priority,radioDisplayName,team,radioIntercept,vduVideo,dialogue,bucket,note,
Host_IntroChallengerChampion_01,diag_ap_aiNotify_introChallengerChampion_01,0,#HOST_AI,TEAM_MILITIA,0,,Introducing your Champion and Challenger.,INTRO_CHALLENGER_CHAMPION,,
Host_IntroChallengerChampion_02,diag_ap_aiNotify_attnChallengerChampion_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: This is your Champion and Challenger,INTRO_CHALLENGER_CHAMPION,,
,,0,,,0,,,,,
Host_AI_FirstCircleTimerStart_01,diag_ap_aiNotify_circleTimerStart1st_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Beginning first circle timer.,FIRST_CIRCLE_TIMER_START,1st Circle Timer Start,
Host_AI_FirstCircleTimerStart_02,diag_ap_aiNotify_circleTimerStart1st_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Initiating first circle timer.,FIRST_CIRCLE_TIMER_START,1st Circle Timer Start,
Host_AI_NextCircleTimerStart_01,diag_ap_aiNotify_circleTimerStartNext_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Beginning new circle timer.,NEXT_CIRCLE_TIMER_START,Next Circle Timer Start,
Host_AI_NextCircleTimerStart_02,diag_ap_aiNotify_circleTimerStartNext_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Initiating new circle timer.,NEXT_CIRCLE_TIMER_START,Next Circle Timer Start,
Host_AI_CircleMoving_01,diag_ap_aiNotify_circleMoving_01,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Circle movement in progress.,CIRCLE_MOVING,Circle Moving,
Host_AI_CircleMoving_02,diag_ap_aiNotify_circleMoving_02,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Circle closing.,CIRCLE_MOVING,Circle Moving,
Host_AI_FinalCircleTimerStart_01,diag_ap_aiNotify_circleTimerStartFinal_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Beginning final circle timer.,FINAL_CIRCLE_TIMER_START,Final Circle Timer Start,
Host_AI_FinalCircleTimerStart_02,diag_ap_aiNotify_circleTimerStartFinal_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Initiating final circle timer.,FINAL_CIRCLE_TIMER_START,Final Circle Timer Start,
Host_AI_FinalCircleMoving_01,diag_ap_aiNotify_circleMovingFinal_01,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Final circle movement in progress.,FINAL_CIRCLE_MOVING,Final Circle Moving,
